Time, xr, yr, zr, q0r, q1r, q2r, q3r, xn, yn, zn, q0n, q1n, q2n, q3n, xd, yd, zd, q0d, q1d, q2d, q3d
0.066, 0.298239, -0.172777, 0.336072, 0.077462, 0.996653, 0.0260401, -0.00227679, 0.298394, -0.172573, 0.335669, 0.0779684, 0.996607, 0.0262868, -0.00190569, 0, 0, 0, 0.0779684, 0.996607, 0.0262868, -0.00190569, 
0.067, 0.298241, -0.172776, 0.336073, 0.0774624, 0.996653, 0.0260406, -0.00227477, 0.298395, -0.172568, 0.335662, 0.0779665, 0.996607, 0.026293, -0.00190286, 0, 0, 0, 0.0779665, 0.996607, 0.026293, -0.00190286, 
0.068, 0.298241, -0.172776, 0.336073, 0.0774617, 0.996653, 0.0260397, -0.00227458, 0.298396, -0.172563, 0.335655, 0.0779645, 0.996607, 0.026299, -0.00190009, 0, 0, 0, 0.0779645, 0.996607, 0.026299, -0.00190009, 
0.069, 0.298238, -0.172777, 0.336074, 0.0774623, 0.996653, 0.0260391, -0.00227706, 0.298397, -0.172558, 0.335648, 0.0779626, 0.996607, 0.0263051, -0.00189737, 0, 0, 0, 0.0779626, 0.996607, 0.0263051, -0.00189737, 
0.07, 0.29824, -0.172778, 0.336074, 0.0774611, 0.996653, 0.0260382, -0.00227552, 0.298398, -0.172553, 0.335642, 0.0779607, 0.996607, 0.0263112, -0.0018947, 0, 0, 0, 0.0779607, 0.996607, 0.0263112, -0.0018947, 
0.071, 0.29824, -0.172778, 0.336074, 0.0774611, 0.996653, 0.0260372, -0.00227634, 0.298399, -0.172548, 0.335635, 0.0779587, 0.996607, 0.0263172, -0.00189208, 0, 0, 0, 0.0779587, 0.996607, 0.0263172, -0.00189208, 
0.072, 0.298241, -0.172779, 0.336074, 0.077462, 0.996653, 0.0260374, -0.00227405, 0.298401, -0.172543, 0.335628, 0.0779567, 0.996607, 0.0263232, -0.00188952, 0, 0, 0, 0.0779567, 0.996607, 0.0263232, -0.00188952, 
0.073, 0.298241, -0.172779, 0.336074, 0.0774619, 0.996653, 0.0260369, -0.00227448, 0.298402, -0.172538, 0.335621, 0.0779547, 0.996607, 0.0263291, -0.00188701, 0, 0, 0, 0.0779547, 0.996607, 0.0263291, -0.00188701, 
0.074, 0.298241, -0.172779, 0.336074, 0.0774629, 0.996653, 0.0260369, -0.0022741, 0.298403, -0.172533, 0.335614, 0.0779527, 0.996607, 0.0263351, -0.00188455, 0, 0, 0, 0.0779527, 0.996607, 0.0263351, -0.00188455, 
0.075, 0.29824, -0.17278, 0.336074, 0.0774619, 0.996653, 0.0260363, -0.00227579, 0.298404, -0.172528, 0.335608, 0.0779507, 0.996607, 0.026341, -0.00188215, 0, 0, 0, 0.0779507, 0.996607, 0.026341, -0.00188215, 
0.076, 0.29824, -0.172778, 0.336074, 0.0774629, 0.996653, 0.0260378, -0.0022751, 0.298405, -0.172523, 0.335601, 0.0779486, 0.996607, 0.0263469, -0.00187979, 0, 0, 0, 0.0779486, 0.996607, 0.0263469, -0.00187979, 
0.077, 0.29824, -0.172778, 0.336073, 0.0774606, 0.996653, 0.0260378, -0.00227538, 0.298406, -0.172519, 0.335594, 0.0779466, 0.996607, 0.0263527, -0.00187748, 0, 0, 0, 0.0779466, 0.996607, 0.0263527, -0.00187748, 
0.078, 0.298239, -0.172779, 0.336074, 0.0774614, 0.996653, 0.0260372, -0.00227631, 0.298407, -0.172514, 0.335588, 0.0779445, 0.996607, 0.0263585, -0.00187523, 0, 0, 0, 0.0779445, 0.996607, 0.0263585, -0.00187523, 
0.079, 0.298241, -0.172778, 0.336073, 0.0774615, 0.996653, 0.0260378, -0.00227444, 0.298408, -0.172509, 0.335581, 0.0779424, 0.996607, 0.0263643, -0.00187303, 0, 0, 0, 0.0779424, 0.996607, 0.0263643, -0.00187303, 
0.08, 0.29824, -0.172778, 0.336074, 0.0774606, 0.996653, 0.0260377, -0.00227585, 0.298409, -0.172504, 0.335575, 0.0779403, 0.996607, 0.0263701, -0.00187087, 0, 0, 0, 0.0779403, 0.996607, 0.0263701, -0.00187087, 
0.081, 0.29824, -0.172778, 0.336074, 0.077461, 0.996653, 0.0260382, -0.00227597, 0.29841, -0.172499, 0.335568, 0.0779382, 0.996607, 0.0263759, -0.00186877, 0, 0, 0, 0.0779382, 0.996607, 0.0263759, -0.00186877, 
0.082, 0.298241, -0.172777, 0.336073, 0.0774621, 0.996653, 0.0260387, -0.00227539, 0.298411, -0.172494, 0.335562, 0.077936, 0.996607, 0.0263816, -0.00186671, 0, 0, 0, 0.077936, 0.996607, 0.0263816, -0.00186671, 
0.083, 0.298241, -0.172778, 0.336073, 0.0774602, 0.996653, 0.0260383, -0.00227447, 0.298411, -0.17249, 0.335556, 0.0779339, 0.996608, 0.0263873, -0.0018647, 0, 0, 0, 0.0779339, 0.996608, 0.0263873, -0.0018647, 
0.084, 0.29824, -0.172778, 0.336073, 0.0774615, 0.996653, 0.0260382, -0.0022762, 0.298412, -0.172485, 0.335549, 0.0779317, 0.996608, 0.0263929, -0.00186275, 0, 0, 0, 0.0779317, 0.996608, 0.0263929, -0.00186275, 
0.085, 0.298241, -0.172777, 0.336073, 0.077462, 0.996653, 0.0260388, -0.0022746, 0.298413, -0.17248, 0.335543, 0.0779295, 0.996608, 0.0263986, -0.00186084, 0, 0, 0, 0.0779295, 0.996608, 0.0263986, -0.00186084, 
0.086, 0.298239, -0.172779, 0.336073, 0.0774628, 0.996653, 0.0260376, -0.002278, 0.298414, -0.172476, 0.335537, 0.0779273, 0.996608, 0.0264042, -0.00185898, 0, 0, 0, 0.0779273, 0.996608, 0.0264042, -0.00185898, 
0.087, 0.29824, -0.172779, 0.336073, 0.0774624, 0.996653, 0.0260377, -0.00227578, 0.298415, -0.172471, 0.335531, 0.077925, 0.996608, 0.0264098, -0.00185716, 0, 0, 0, 0.077925, 0.996608, 0.0264098, -0.00185716, 
0.088, 0.29824, -0.172778, 0.336073, 0.0774615, 0.996653, 0.0260377, -0.00227578, 0.298416, -0.172466, 0.335525, 0.0779228, 0.996608, 0.0264153, -0.0018554, 0, 0, 0, 0.0779228, 0.996608, 0.0264153, -0.0018554, 
0.089, 0.298241, -0.172778, 0.336073, 0.077462, 0.996653, 0.0260382, -0.00227544, 0.298417, -0.172462, 0.335518, 0.0779205, 0.996608, 0.0264208, -0.00185368, 0, 0, 0, 0.0779205, 0.996608, 0.0264208, -0.00185368, 
0.09, 0.29824, -0.172778, 0.336073, 0.0774611, 0.996653, 0.0260377, -0.00227674, 0.298417, -0.172457, 0.335512, 0.0779182, 0.996608, 0.0264263, -0.00185201, 0, 0, 0, 0.0779182, 0.996608, 0.0264263, -0.00185201, 
0.091, 0.29824, -0.172778, 0.336074, 0.0774611, 0.996653, 0.0260377, -0.00227636, 0.298418, -0.172453, 0.335506, 0.077916, 0.996608, 0.0264318, -0.00185039, 0, 0, 0, 0.077916, 0.996608, 0.0264318, -0.00185039, 
0.092, 0.29824, -0.172778, 0.336073, 0.077462, 0.996653, 0.0260382, -0.00227623, 0.298419, -0.172448, 0.3355, 0.0779136, 0.996608, 0.0264372, -0.00184881, 0, 0, 0, 0.0779136, 0.996608, 0.0264372, -0.00184881, 
0.093, 0.29824, -0.172778, 0.336073, 0.0774616, 0.996653, 0.0260377, -0.0022762, 0.29842, -0.172444, 0.335494, 0.0779113, 0.996608, 0.0264426, -0.00184728, 0, 0, 0, 0.0779113, 0.996608, 0.0264426, -0.00184728, 
0.094, 0.29824, -0.172778, 0.336073, 0.0774611, 0.996653, 0.0260382, -0.00227629, 0.298421, -0.172439, 0.335488, 0.0779089, 0.996608, 0.026448, -0.00184579, 0, 0, 0, 0.0779089, 0.996608, 0.026448, -0.00184579, 
0.095, 0.29824, -0.172779, 0.336073, 0.0774611, 0.996653, 0.0260372, -0.00227671, 0.298421, -0.172435, 0.335483, 0.0779066, 0.996608, 0.0264534, -0.00184435, 0, 0, 0, 0.0779066, 0.996608, 0.0264534, -0.00184435, 
0.096, 0.29824, -0.172778, 0.336073, 0.0774615, 0.996653, 0.0260382, -0.0022759, 0.298422, -0.17243, 0.335477, 0.0779042, 0.996608, 0.0264587, -0.00184295, 0, 0, 0, 0.0779042, 0.996608, 0.0264587, -0.00184295, 
0.097, 0.29824, -0.172778, 0.336073, 0.077461, 0.996653, 0.0260382, -0.00227579, 0.298423, -0.172426, 0.335471, 0.0779018, 0.996608, 0.026464, -0.0018416, 0, 0, 0, 0.0779018, 0.996608, 0.026464, -0.0018416, 
0.098, 0.29824, -0.172778, 0.336074, 0.0774611, 0.996653, 0.0260377, -0.00227634, 0.298424, -0.172421, 0.335465, 0.0778993, 0.996608, 0.0264692, -0.0018403, 0, 0, 0, 0.0778993, 0.996608, 0.0264692, -0.0018403, 
0.099, 0.29824, -0.172779, 0.336073, 0.077462, 0.996653, 0.0260372, -0.00227626, 0.298424, -0.172417, 0.33546, 0.0778969, 0.996608, 0.0264744, -0.00183903, 0, 0, 0, 0.0778969, 0.996608, 0.0264744, -0.00183903, 
0.1, 0.29824, -0.172778, 0.336074, 0.077462, 0.996653, 0.0260382, -0.00227599, 0.298425, -0.172413, 0.335454, 0.0778944, 0.996608, 0.0264796, -0.00183782, 0, 0, 0, 0.0778944, 0.996608, 0.0264796, -0.00183782, 
0.101, 0.29824, -0.172778, 0.336073, 0.0774629, 0.996653, 0.0260382, -0.00227639, 0.298426, -0.172408, 0.335448, 0.0778919, 0.996608, 0.0264848, -0.00183664, 0, 0, 0, 0.0778919, 0.996608, 0.0264848, -0.00183664, 
0.102, 0.29824, -0.172778, 0.336073, 0.0774625, 0.996653, 0.0260377, -0.00227572, 0.298426, -0.172404, 0.335443, 0.0778894, 0.996608, 0.0264899, -0.00183551, 0, 0, 0, 0.0778894, 0.996608, 0.0264899, -0.00183551, 
0.103, 0.29824, -0.172778, 0.336073, 0.0774616, 0.996653, 0.0260382, -0.0022763, 0.298427, -0.1724, 0.335437, 0.0778869, 0.996608, 0.026495, -0.00183442, 0, 0, 0, 0.0778869, 0.996608, 0.026495, -0.00183442, 
0.104, 0.29824, -0.172777, 0.336073, 0.0774616, 0.996653, 0.0260387, -0.00227632, 0.298428, -0.172396, 0.335432, 0.0778844, 0.996608, 0.0265001, -0.00183338, 0, 0, 0, 0.0778844, 0.996608, 0.0265001, -0.00183338, 
