Time, Fx, Fy, Fz, Tx, Ty, Yz, Fx_tmp, Fy_tmp, Fz_tmp, Tx_tmp, Ty_tmp, Tz_tmp
11.288, 1.98, 0, -1.32, 0, 0, -0.006, 1.98, 0.18, -1.32, 0.007, 0.015, -0.006, 
11.388, 1.56, 0, -1.66, 0, 0, 0, 1.56, 0.08, -1.66, -0.0105, 0.015, -0.004, 
11.488, 1.78, 0, -1.08, 0, 0, 0, 1.78, 0.08, -1.08, -0.0055, 0.0205, -0.001, 
11.588, 1.7, 0, -1.32, 0, 0, 0, 1.7, 0, -1.32, 0.001, 0.028, 0, 
11.688, 1.76, 0, -1.6, 0, 0, -0.0075, 1.76, 0.06, -1.6, -0.0075, 0.028, -0.0075, 
11.788, 1.68, 0, -1.48, 0, 0, 0, 1.68, 0.12, -1.48, 0.0075, 0.0205, 0.0005, 
11.888, 1.82, 0, -1.42, 0, 0, 0, 1.82, -0.06, -1.42, -0.0015, 0.017, -0.0015, 
11.988, 1.98, 0, -1.42, 0, 0, 0.0065, 1.98, -0.32, -1.42, -0.0035, 0.023, 0.0065, 
12.088, 1.8, 0, -1.28, 0, 0, 0, 1.8, -0.1, -1.28, 0.0045, 0.021, 0.0005, 
12.188, 1.72, 0, -1.08, 0, 0, 0, 1.72, -0.24, -1.08, -0.0085, 0.018, -0.001, 
12.288, 1.8, 0, -1.6, 0, 0, -0.007, 1.8, -0.14, -1.6, -0.013, 0.007, -0.007, 
12.388, 1.68, 0, -1.82, 0, 0, 0, 1.68, -0.18, -1.82, -0.0065, 0.0135, 0.001, 
12.488, 1.8, 0, -1.56, 0, 0, 0.0065, 1.8, -0.24, -1.56, -0.0175, 0.0175, 0.0065, 
12.588, 2.02, 0, -1.16, 0, 0, 0, 2.02, -0.04, -1.16, 0.003, 0.02, -0.0035, 
12.688, 1.5, 0, -1.1, 0, 0, 0, 1.5, 0.14, -1.1, -0.0015, 0.0295, 0, 
12.788, 1.66, 0, -1.32, 0, 0, 0, 1.66, 0, -1.32, -0.0115, 0.018, -0.0035, 
12.888, 2.08, 0, -1.62, 0, 0, -0.006, 2.08, -0.12, -1.62, -0.0175, 0.0125, -0.006, 
12.988, 1.78, 0, -1.32, 0, 0, 0.012, 1.78, -0.28, -1.32, -0.0025, 0.0195, 0.012, 
13.088, 1.54, 0, -1.76, 0, 0, 0, 1.54, 0.02, -1.76, -0.0085, 0.026, 0.0035, 
13.188, 1.64, 0, -1.7, 0, 0, 0, 1.64, 0.24, -1.7, 0.0025, 0.024, 0.002, 
13.288, 1.86, 0, -1.1, 0, 0, 0, 1.86, 0.22, -1.1, 0.002, 0.023, -0.0045, 
13.388, 1.62, 0, -1.5, 0, 0, 0, 1.62, 0.2, -1.5, 0.003, 0.018, -0.004, 
13.488, 1.88, 0, -1.52, 0, 0, 0, 1.88, -0.14, -1.52, -0.0015, 0.0105, 0.0015, 
13.588, 1.96, 0, -1.4, 0, 0, 0, 1.96, -0.28, -1.4, -0.0045, 0.0155, 0.0025, 
13.688, 1.86, 0, -1.22, 0, 0, -0.0095, 1.86, 0.24, -1.22, 0.0005, 0.025, -0.0095, 
13.788, 1.9, 0, -1.16, 0, 0, 0.0065, 1.9, -0.44, -1.16, -0.0045, 0.0255, 0.0065, 
13.888, 1.72, 0, -1.3, 0, 0, -0.006, 1.72, 0.02, -1.3, -0.009, 0.0225, -0.006, 
13.988, 1.8, 0, -1.34, 0, 0, 0, 1.8, -0.24, -1.34, -0.0125, 0.0165, -0.003, 
14.088, 1.86, 0, -1.18, 0, 0, 0, 1.86, -0.14, -1.18, -0.019, 0.026, -0.0015, 
14.188, 2, 0, -1.68, 0, 0, 0, 2, 0.12, -1.68, 0.0045, 0.017, -0.001, 
14.288, 1.76, 0, -1.6, 0, 0, 0, 1.76, 0.04, -1.6, -0.004, 0.0185, -0.0025, 
